A & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 90\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 9\% } \\
B & {\tiny 8\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 20\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 44\% } & {\tiny 0\% } \\
C & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 74\% } & {\tiny 9\% } & {\tiny 0\% } \\
D & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 4\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 9\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 72\% } & {\tiny 9\% } & {\tiny 9\% } & {\tiny 0\% } \\
E & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 18\% } & {\tiny 9\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 10\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 54\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } \\
F & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 2\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 3\% } & {\tiny 95\% } & {\tiny 5\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 4\% } \\
G & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 18\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 75\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } \\
H & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 11\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 85\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } \\
I & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 9\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 7\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 51\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 1\% } & {\tiny 4\% } & {\tiny 0\% } & {\tiny 7\% } & {\tiny 0\% } & {\tiny 7\% } \\
J & {\tiny 3\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 22\% } & {\tiny 26\% } & {\tiny 0\% } & {\tiny 18\% } & {\tiny 13\% } & {\tiny 2\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 62\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 31\% } & {\tiny 0\% } \\
